team_name,departure_datetime,landing_datetime,travel_distance_miles
Agile Antelopes,2102-04-06 21:37:00,2102-04-07 00:35:57,1491.25
Agile Antelopes,2102-04-10 23:57:00,2102-04-11 01:35:40,822.2222222222223
Agile Antelopes,2102-04-14 00:29:00,2102-04-14 05:02:55,2282.638888888889
Agile Antelopes,2102-04-21 03:31:00,2102-04-21 05:23:09,934.5833333333335
Agile Antelopes,2102-04-24 22:23:00,2102-04-25 00:25:50,1023.611111111111
Agile Antelopes,2102-04-29 03:57:00,2102-04-29 04:22:29,212.36111111111111
Agile Antelopes,2102-05-05 21:00:00,2102-05-06 00:57:28,1978.888888888889
Agile Antelopes,2102-05-09 01:28:00,2102-05-09 02:46:14,651.9444444444445
Agile Antelopes,2102-05-12 00:14:00,2102-05-12 05:06:14,2435.277777777778
Agile Antelopes,2102-05-17 00:39:00,2102-05-17 02:29:51,923.75
Agile Antelopes,2102-05-19 21:26:00,2102-05-19 23:16:51,923.75
Agile Antelopes,2102-05-27 01:24:00,2102-05-27 03:16:29,937.3611111111111
Agile Antelopes,2102-05-29 22:45:00,2102-05-30 01:28:00,1358.3333333333335
Agile Antelopes,2102-06-02 00:59:00,2102-06-02 05:34:25,2295.1388888888887
Agile Antelopes,2102-06-09 03:37:00,2102-06-09 08:32:27,2462.083333333333
Agile Antelopes,2102-06-12 21:58:00,2102-06-13 01:48:52,1923.888888888889
Agile Antelopes,2102-06-17 05:22:00,2102-06-17 07:48:13,1218.4722222222222
Agile Antelopes,2102-06-23 21:38:00,2102-06-24 02:10:35,2271.5277777777774
Agile Antelopes,2102-06-27 01:19:00,2102-06-27 03:26:37,1063.4722222222222
Agile Antelopes,2102-06-30 00:35:00,2102-06-30 05:19:59,2374.8611111111113
Agile Antelopes,2102-07-03 22:29:00,2102-07-03 22:43:35,121.52777777777777
Agile Antelopes,2102-07-10 20:30:00,2102-07-10 21:55:13,710.1388888888889
Agile Antelopes,2102-07-17 23:39:00,2102-07-18 00:10:54,265.8333333333333
Agile Antelopes,2102-07-21 05:00:00,2102-07-21 06:11:50,598.6111111111111
Agile Antelopes,2102-07-27 20:28:00,2102-07-27 20:53:29,212.36111111111111
Agile Antelopes,2102-07-31 22:13:00,2102-07-31 22:38:29,212.36111111111111
Agile Antelopes,2102-08-03 21:25:00,2102-08-03 22:13:21,402.9166666666667
Agile Antelopes,2102-08-07 22:47:00,2102-08-07 23:47:06,500.83333333333337
Agile Antelopes,2102-08-12 03:48:00,2102-08-12 04:02:35,121.52777777777777
Agile Antelopes,2102-08-21 00:43:00,2102-08-21 01:02:39,163.74999999999997
Agile Antelopes,2102-08-22 03:36:00,2102-08-22 03:55:49,165.13888888888889
Agile Antelopes,2102-08-25 21:59:00,2102-08-26 00:11:06,1100.8333333333333
Agile Antelopes,2102-08-28 21:54:00,2102-08-29 00:22:13,1235.138888888889
Agile Antelopes,2102-08-31 23:30:00,2102-09-01 00:12:14,351.94444444444446
Agile Antelopes,2102-09-11 23:39:00,2102-09-12 00:02:10,193.05555555555557
Agile Antelopes,2102-09-15 20:25:00,2102-09-15 21:18:42,447.5
Agile Antelopes,2102-09-18 23:25:00,2102-09-19 00:41:44,639.4444444444445
Agile Antelopes,2102-09-26 03:32:00,2102-09-26 03:36:13,35.13888888888889
Agile Antelopes,2102-09-29 03:03:00,2102-09-29 08:02:20,2494.4444444444443
Brave Bears,2102-04-06 21:35:00,2102-04-06 21:56:22,178.05555555555554
Brave Bears,2102-04-10 22:03:00,2102-04-10 22:39:51,307.0833333333333
